,NAME,OWNERSHIP,LOCATION,ALIAS_NAME
794,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
795,SOUTH BAY TERRACES OS,City of San Diego,,South Bay Terraces Open Space
796,BLACK MOUNTAIN RANCH OS,City of San Diego,,Black Mountain Ranch Open Space
797,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
798,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
799,KENSINGTON/COLLEGE OS,City of San Diego,,Kensington/College Open Space
800,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
801,KENSINGTON/COLLEGE OS,City of San Diego,,Kensington/College Open Space
802,CHOLLAS RADIO SYSTEM OS,City of San Diego,,Chollas Radio System Open Space
803,MID-CITY OS,City of San Diego,,Mid-City Open Space
804,CYPRESS CANYON OS,City of San Diego,,Cypress Canyon Open Space
805,SWITZER OS,City of San Diego,,Switzer Open Space
806,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
807,SWITZER OS,City of San Diego,,Switzer Open Space
808,MCGONIGLE CANYON OS,City of San Diego,,Mcgonigle Canyon Open Space
809,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
810,CARMEL MOUNTAIN OS,City of San Diego,,Carmel Mountain Open Space
811,CHOLLAS RADIO SYSTEM OS,City of San Diego,,Chollas Radio System Open Space
812,OTAY VALLEY REGIONAL PARK,City of San Diego,,Otay Valley Regional Park
813,ENCANTO EXPRESSWAY OS,City of San Diego,,Encanto Expressway Open Space
814,CHOLLAS RADIO SYSTEM OS,City of San Diego,,Chollas Radio System Open Space
815,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
816,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
817,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
818,ROSE CANYON OS,City of San Diego,,Rose Canyon Open Space
819,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
820,OLD TROLLEY BARN PARK,City of San Diego,,Old Trolley Barn Park
821,OTAY VALLEY REGIONAL PARK,City of San Diego,,Otay Valley Regional Park
822,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
823,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
824,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
825,CREST CANYON OS PARK,City of San Diego,,Crest Canyon Open Space Park
826,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
827,LA ZANJA CANYON OS,City of San Diego,,La Zanja Canyon Open Space
828,CHOLLAS RADIO SYSTEM OS,City of San Diego,,Chollas Radio System Open Space
829,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
830,SAN PASQUAL TRAILS OS,City of San Diego,,San Pasqual Trails Open Space
831,SWITZER OS,City of San Diego,,Switzer Open Space
832,UPTOWN OS,City of San Diego,,Uptown Open Space
833,KENSINGTON/COLLEGE OS,City of San Diego,,Kensington/College Open Space
834,PRESIDIO OS,City of San Diego,,Presidio Open Space
835,ALBATROSS CANYON OS,City of San Diego,,Albatross Canyon Open Space
836,SWITZER OS,City of San Diego,,Switzer Open Space
837,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
838,NORTH CITY WEST OS,City of San Diego,,North City West Open Space
839,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
840,CARROLL CANYON OS,City of San Diego,,Carroll Canyon Open Space
841,RADIO CANYON EXTENSION OS,City of San Diego,,Radio Canyon Extension Open Space
842,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
843,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
844,TECOLOTE CANYON NATURAL OS PARK,City of San Diego,,Tecolote Canyon Natural Open Space Park
845,TORREY HILLS OS,City of San Diego,,Torrey Hills Open Space
846,DEL MAR MESA OS,City of San Diego,,Del Mar Mesa Open Space
847,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
848,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
849,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
850,MARIAN BEAR OS PARK,City of San Diego,,Marian Bear Open Space Park
851,SABRE SPRINGS OS,City of San Diego,,Sabre Springs Open Space
852,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
853,SORRENTO HILLS OS,City of San Diego,,Sorrento Hills Open Space
854,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
855,MARIAN BEAR OS PARK,City of San Diego,,Marian Bear Open Space Park
856,SOUTH BAY TERRACES OS,City of San Diego,,South Bay Terraces Open Space
857,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
858,MIRA MESA OS,City of San Diego,,Mira Mesa Open Space
859,OTAY MESA OS,City of San Diego,,Otay Mesa Open Space
860,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
861,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
862,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
863,MAPLE CANYON OS,City of San Diego,,Maple Canyon Open Space
864,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
865,TECOLOTE CANYON NATURAL OS PARK,City of San Diego,,Tecolote Canyon Natural Open Space Park
866,ENCANTO EXPRESSWAY OS,City of San Diego,,Encanto Expressway Open Space
867,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
868,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
869,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
870,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
871,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
872,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
873,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
874,FAIRBANKS COUNTRY CLUB OS,City of San Diego,,Fairbanks Country Club Open Space
875,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
876,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
877,UPTOWN OS,City of San Diego,,Uptown Open Space
878,UPTOWN OS,City of San Diego,,Uptown Open Space
879,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
880,32ND ST CANYON OS,City of San Diego,,32nd St Canyon Open Space
881,SOLEDAD NATURAL OS PARK,City of San Diego,,Soledad Natural Open Space Park
882,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
883,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
884,OTAY MESA OS,City of San Diego,,Otay Mesa Open Space
885,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
886,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
887,CERVANTES CANYON OS,City of San Diego,,Cervantes Canyon Open Space
888,CREST CANYON OS PARK,City of San Diego,,Crest Canyon Open Space Park
889,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
890,CHOLLAS RADIO SYSTEM OS,City of San Diego,,Chollas Radio System Open Space
891,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
892,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
893,CHOLLAS RADIO SYSTEM OS,City of San Diego,,Chollas Radio System Open Space
894,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
895,PARADISE CANYON PARK,City of San Diego,,Paradise Canyon Park
896,MIRA MESA OS,City of San Diego,,Mira Mesa Open Space
897,RANCHO MISSION CANYON OS,City of San Diego,,Rancho Mission Canyon Open Space
898,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
899,OTAY MESA OS,City of San Diego,,Otay Mesa Open Space
900,MARIAN BEAR OS PARK,City of San Diego,,Marian Bear Open Space Park
901,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
902,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
903,32ND ST CANYON OS,City of San Diego,,32nd St Canyon Open Space
904,CARMEL MOUNTAIN OS,City of San Diego,,Carmel Mountain Open Space
905,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
906,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
907,FAMOSA SLOUGH,City of San Diego,,Famosa Slough
908,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
909,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
910,RANCHO PENASQUITOS OS,City of San Diego,,Rancho Penasquitos Open Space
911,MAPLE CANYON OS,City of San Diego,,Maple Canyon Open Space
912,RANCHO MISSION CANYON OS,City of San Diego,,Rancho Mission Canyon Open Space
913,MAPLE CANYON OS,City of San Diego,,Maple Canyon Open Space
914,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
915,CAMPUS POINT OS,City of San Diego,,Campus Point Open Space
916,MAPLE CANYON OS,City of San Diego,,Maple Canyon Open Space
917,SAN PASQUAL TRAILS OS,City of San Diego,,San Pasqual Trails Open Space
918,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
919,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
920,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
921,BLACK MOUNTAIN OS PARK,City of San Diego,,Black Mountain Open Space Park
922,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
923,LA ZANJA CANYON OS,City of San Diego,,La Zanja Canyon Open Space
924,BLACK MOUNTAIN OS PARK,City of San Diego,,Black Mountain Open Space Park
925,32ND ST CANYON OS,City of San Diego,,32nd St Canyon Open Space
926,MISSION VALLEY PRESERVE,City of San Diego,,Mission Valley Preserve
927,CARMEL MOUNTAIN OS,City of San Diego,,Carmel Mountain Open Space
928,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
929,KENSINGTON HILLSIDES OS,City of San Diego,,Kensington Hillsides Open Space
930,MISSION VALLEY PRESERVE,City of San Diego,,Mission Valley Preserve
931,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
932,SABRE SPRINGS OS,City of San Diego,,Sabre Springs Open Space
933,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
934,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
935,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
936,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
937,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
938,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
939,OLD TROLLEY BARN PARK,City of San Diego,,Old Trolley Barn Park
940,MCGONIGLE CANYON OS,City of San Diego,,Mcgonigle Canyon Open Space
941,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
942,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
943,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
944,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
945,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
946,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
947,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
948,OTAY MESA OS,City of San Diego,,Otay Mesa Open Space
949,OTAY VALLEY REGIONAL PARK,City of San Diego,,Otay Valley Regional Park
950,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
951,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
952,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
953,SABRE SPRINGS OS,City of San Diego,,Sabre Springs Open Space
954,BLACK MOUNTAIN OS PARK,City of San Diego,,Black Mountain Open Space Park
955,OTAY VALLEY REGIONAL PARK,City of San Diego,,Otay Valley Regional Park
956,SWITZER OS,City of San Diego,,Switzer Open Space
957,CHOLLAS RADIO SYSTEM OS,City of San Diego,,Chollas Radio System Open Space
958,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
959,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
960,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
961,EUGENE PLACE OS,City of San Diego,,Eugene Place Open Space
962,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
963,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
964,32ND ST CANYON OS,City of San Diego,,32nd St Canyon Open Space
965,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
966,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
967,LOPEZ CANYON OS,City of San Diego,,Lopez Canyon Open Space
968,BLACK MOUNTAIN OS PARK,City of San Diego,,Black Mountain Open Space Park
969,BLACK MOUNTAIN OS PARK,City of San Diego,,Black Mountain Open Space Park
970,SAN PASQUAL TRAILS OS,City of San Diego,,San Pasqual Trails Open Space
971,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
972,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
973,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
974,FAIRBANKS COUNTRY CLUB OS,City of San Diego,,Fairbanks Country Club Open Space
975,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
976,MID-CITY OS,City of San Diego,,Mid-City Open Space
977,SOLEDAD NATURAL OS PARK,City of San Diego,,Soledad Natural Open Space Park
978,TECOLOTE CANYON NATURAL OS PARK,City of San Diego,,Tecolote Canyon Natural Open Space Park
979,RANCHO PENASQUITOS OS,City of San Diego,,Rancho Penasquitos Open Space
980,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
981,KENSINGTON/COLLEGE OS,City of San Diego,,Kensington/College Open Space
982,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
983,OTAY MESA OS,City of San Diego,,Otay Mesa Open Space
984,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
985,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
986,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
987,MISSION VALLEY HILLSIDES OS,City of San Diego,,Mission Valley Hillsides Open Space
988,ALBATROSS CANYON OS,City of San Diego,,Albatross Canyon Open Space
989,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
990,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
991,OTAY MESA OS,City of San Diego,,Otay Mesa Open Space
992,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
993,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
994,CHOLLAS RADIO SYSTEM OS,City of San Diego,,Chollas Radio System Open Space
995,MCGONIGLE CANYON OS,City of San Diego,,Mcgonigle Canyon Open Space
996,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
997,ALBATROSS CANYON OS,City of San Diego,,Albatross Canyon Open Space
998,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
999,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
1000,LA JOLLA OS,City of San Diego,,La Jolla Open Space
1001,TECOLOTE CANYON NATURAL OS PARK,City of San Diego,,Tecolote Canyon Natural Open Space Park
1002,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
1003,OTAY MESA OS,City of San Diego,,Otay Mesa Open Space
1004,CARMEL VALLEY OS,City of San Diego,,Carmel Valley Open Space
1005,CREST CANYON OS PARK,City of San Diego,,Crest Canyon Open Space Park
1006,MISSION VALLEY PRESERVE,City of San Diego,,Mission Valley Preserve
1007,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
1008,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
1009,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1010,SWITZER OS,City of San Diego,,Switzer Open Space
1011,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
1012,PACIFIC BEACH OS,City of San Diego,,Pacific Beach Open Space
1013,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
1014,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
1015,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
1016,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
1017,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
1018,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1019,SOUTH BAY TERRACES OS,City of San Diego,,South Bay Terraces Open Space
1020,ENCANTO EXPRESSWAY OS,City of San Diego,,Encanto Expressway Open Space
1021,OTAY MESA OS,City of San Diego,,Otay Mesa Open Space
1022,CHOLLAS PARKWAY OS,City of San Diego,,Chollas Parkway Open Space
1023,OTAY MESA OS,City of San Diego,,Otay Mesa Open Space
1024,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
1025,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1026,OTAY MESA VERNAL POOL OS,City of San Diego,,Otay Mesa Vernal Pool Open Space
1027,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1028,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
1029,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1030,LEXINGTON CANYON OS,City of San Diego,,Lexington Canyon Open Space
1031,TECOLOTE CANYON NATURAL OS PARK,City of San Diego,,Tecolote Canyon Natural Open Space Park
1032,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
1033,RANCHO MISSION CANYON OS,City of San Diego,,Rancho Mission Canyon Open Space
1034,ENCANTO EXPRESSWAY OS,City of San Diego,,Encanto Expressway Open Space
1035,POTTERY CANYON NATURAL OS PARK,City of San Diego,,Pottery Canyon Natural Open Space Park
1036,MISSION HILLS OS PARK,City of San Diego,,Mission Hills Open Space Park
1037,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
1038,SOUTH BAY TERRACES OS,City of San Diego,,South Bay Terraces Open Space
1039,ENCANTO EXPRESSWAY OS,City of San Diego,,Encanto Expressway Open Space
1040,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
1041,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
1042,NORTH CITY WEST OS,City of San Diego,,North City West Open Space
1043,SABRE SPRINGS OS,City of San Diego,,Sabre Springs Open Space
1044,LA JOLLA OS,City of San Diego,,La Jolla Open Space
1045,32ND ST CANYON OS,City of San Diego,,32nd St Canyon Open Space
1046,CHOLLAS PARKWAY OS,City of San Diego,,Chollas Parkway Open Space
1047,LOS PENASQUITOS CANYON VERNAL POOL OS,City of San Diego,,Los Penasquitos Canyon Vernal Pool Open Space
1048,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1049,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1050,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
1051,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
1052,SAN PASQUAL TRAILS OS,City of San Diego,,San Pasqual Trails Open Space
1053,DEL MAR MESA OS,City of San Diego,,Del Mar Mesa Open Space
1054,ENCANTO EXPRESSWAY OS,City of San Diego,,Encanto Expressway Open Space
1055,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1056,TORREY HILLS OS,City of San Diego,,Torrey Hills Open Space
1057,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
1058,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
1059,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
1060,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1061,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
1062,OTAY MESA OS,City of San Diego,,Otay Mesa Open Space
1063,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
1064,NORTH CITY WEST OS,City of San Diego,,North City West Open Space
1065,OTAY MESA OS,City of San Diego,,Otay Mesa Open Space
1066,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
1067,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1068,UPTOWN OS,City of San Diego,,Uptown Open Space
1069,HAMPE HILLS OS,City of San Diego,,Hampe Hills Open Space
1070,VALENCIA CANYON OS,City of San Diego,,Valencia Canyon Open Space
1071,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
1072,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
1073,SABRE SPRINGS OS,City of San Diego,,Sabre Springs Open Space
1074,SHAW VALLEY OS,City of San Diego,,Shaw Valley Open Space
1075,SAN PASQUAL TRAILS OS,City of San Diego,,San Pasqual Trails Open Space
1076,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
1077,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
1078,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
1079,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
