,NAME,OWNERSHIP,LOCATION,ALIAS_NAME
772,MISSION VALLEY HILLSIDES OS,City of San Diego,,Mission Valley Hillsides Open Space
773,CLEAR. SITE 762,City of San Diego,,Clear. Site 762
774,SWITZER OS,City of San Diego,,Switzer Open Space
775,TECOLOTE CANYON NATURAL OS PARK,City of San Diego,,Tecolote Canyon Natural Open Space Park
776,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
777,ROSE CANYON OS,City of San Diego,,Rose Canyon Open Space
778,ENCANTO EXPRESSWAY OS,City of San Diego,,Encanto Expressway Open Space
779,CLEAR. SITE 571,City of San Diego,,Clear. Site 571
780,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
781,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
782,NAVAJO CANYON OS PARK,City of San Diego,,Navajo Canyon Open Space Park
783,OTAY MESA OS,City of San Diego,,Otay Mesa Open Space
784,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
785,RANCHO MISSION CANYON OS,City of San Diego,,Rancho Mission Canyon Open Space
786,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
787,32ND ST CANYON OS,City of San Diego,,32nd St Canyon Open Space
788,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
789,UPTOWN OS,City of San Diego,,Uptown Open Space
790,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
791,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
792,SAN DIEGO RIVER PARK OS,City of San Diego,,San Diego River Park Open Space
793,ALBATROSS CANYON OS,City of San Diego,,Albatross Canyon Open Space
